BusinessId;Attribute;Sentiment
"DuaoskPAVBV55px_cwxIVw";Food;-5.059447700872598
"DuaoskPAVBV55px_cwxIVw";meat;-1.7798330015483301
"DuaoskPAVBV55px_cwxIVw";texture;-1.5804166666666668
"DuaoskPAVBV55px_cwxIVw";person;-1.4018047988916658
"DuaoskPAVBV55px_cwxIVw";school;-1.3147348484848482
"DuaoskPAVBV55px_cwxIVw";buffet stuff;-1.0667088034440917
"DuaoskPAVBV55px_cwxIVw";people;-1.0361418944900207
"DuaoskPAVBV55px_cwxIVw";taste;-0.41690873429663844
"DuaoskPAVBV55px_cwxIVw";combination;-0.38210884353741503
"DuaoskPAVBV55px_cwxIVw";Buffet;-0.35019796505197975
"DuaoskPAVBV55px_cwxIVw";slivers;-0.2731337217179245
"DuaoskPAVBV55px_cwxIVw";way;-0.12243882682669094
"DuaoskPAVBV55px_cwxIVw";hand;-0.07148087223330438
"DuaoskPAVBV55px_cwxIVw";reason;0.0
"DuaoskPAVBV55px_cwxIVw";consumption;0.0
"DuaoskPAVBV55px_cwxIVw";goodies;0.0
"DuaoskPAVBV55px_cwxIVw";ice ice ice us ice ice ice tea;0.003623084348456677
"DuaoskPAVBV55px_cwxIVw";digits;0.03651209258369981
"DuaoskPAVBV55px_cwxIVw";time;0.051020408163265314
"DuaoskPAVBV55px_cwxIVw";music;0.05540809555408094
"DuaoskPAVBV55px_cwxIVw";day;0.07113845418707443
"DuaoskPAVBV55px_cwxIVw";not rib;0.12408759124087591
"DuaoskPAVBV55px_cwxIVw";container;0.1304769660774969
"DuaoskPAVBV55px_cwxIVw";idea;0.1590909090909091
"DuaoskPAVBV55px_cwxIVw";note;0.6761363636363638
"DuaoskPAVBV55px_cwxIVw";flavors;0.708941605839416
"DuaoskPAVBV55px_cwxIVw";floors;0.708941605839416
"DuaoskPAVBV55px_cwxIVw";Building;0.7360598953321777
"DuaoskPAVBV55px_cwxIVw";service;0.8931169613204526
"DuaoskPAVBV55px_cwxIVw";condition;0.9573697725926378
"DuaoskPAVBV55px_cwxIVw";decision;1.2747700048222113
"DuaoskPAVBV55px_cwxIVw";meal;3.0687264871452795
"5Fwwfw20IbIFWzVyAukZJw";Food;-2.56471798274718
"5Fwwfw20IbIFWzVyAukZJw";person;-1.3007962643371438
"5Fwwfw20IbIFWzVyAukZJw";time;-0.4583333333333333
"5Fwwfw20IbIFWzVyAukZJw";people;-0.36000000000000004
"5Fwwfw20IbIFWzVyAukZJw";container;-0.1785714285714286
"5Fwwfw20IbIFWzVyAukZJw";texture;0.0
"5Fwwfw20IbIFWzVyAukZJw";note;0.02181276249830646
"5Fwwfw20IbIFWzVyAukZJw";idea;0.2187363118703461
"5Fwwfw20IbIFWzVyAukZJw";meat;1.3837632198238539
"9qxRn-qokwlmnRnv6-baLA";condition;-1.5
"9qxRn-qokwlmnRnv6-baLA";Panda Panda Panda Express;-0.20090909090909095
"9qxRn-qokwlmnRnv6-baLA";mama;-0.10674931129476586
"9qxRn-qokwlmnRnv6-baLA";meat;0.0
"9qxRn-qokwlmnRnv6-baLA";service;0.0
"9qxRn-qokwlmnRnv6-baLA";meal;0.0
"9qxRn-qokwlmnRnv6-baLA";person;0.021897810218978103
"9qxRn-qokwlmnRnv6-baLA";day;0.12647831800262813
"9qxRn-qokwlmnRnv6-baLA";hand;0.1590909090909091
"9qxRn-qokwlmnRnv6-baLA";buffet stuff;0.1590909090909091
"9qxRn-qokwlmnRnv6-baLA";expectations;0.20833333333333334
"9qxRn-qokwlmnRnv6-baLA";people;0.23722627737226276
"9qxRn-qokwlmnRnv6-baLA";colors;0.23722627737226276
"9qxRn-qokwlmnRnv6-baLA";Food;0.559116017877382
"9qxRn-qokwlmnRnv6-baLA";decision;0.708941605839416
"GrUh2Jo6sL3wllrtZY4zmg";taste;-0.5706406664316871
"GrUh2Jo6sL3wllrtZY4zmg";condition;-0.4846938775510204
"GrUh2Jo6sL3wllrtZY4zmg";flavors;-0.4626666666666666
"GrUh2Jo6sL3wllrtZY4zmg";hand;0.0
"GrUh2Jo6sL3wllrtZY4zmg";meat;0.0
"GrUh2Jo6sL3wllrtZY4zmg";container;0.0
"GrUh2Jo6sL3wllrtZY4zmg";Food;0.10161665210585757
"GrUh2Jo6sL3wllrtZY4zmg";buffet stuff;0.1590909090909091
"GrUh2Jo6sL3wllrtZY4zmg";person;0.16241496598639454
"GrUh2Jo6sL3wllrtZY4zmg";service;0.612157655511677
"GrUh2Jo6sL3wllrtZY4zmg";idea;0.6337632198238539
"Co-sJv4GNxILkF79ZMLq-Q";person;-1.7825254687557148
"Co-sJv4GNxILkF79ZMLq-Q";idea;-1.6962813328633741
"Co-sJv4GNxILkF79ZMLq-Q";service;-1.461636363636364
"Co-sJv4GNxILkF79ZMLq-Q";digits;-1.157635820707179
"Co-sJv4GNxILkF79ZMLq-Q";ratings;-1.0706406664316872
"Co-sJv4GNxILkF79ZMLq-Q";Food;-0.7958752046620499
"Co-sJv4GNxILkF79ZMLq-Q";floors;-0.7954545454545454
"Co-sJv4GNxILkF79ZMLq-Q";decision;-0.604019633804726
